,Unnamed: 0,wt3_valve,Tank1InFlow,Tank1WaterLevel,Tank2OutFlow,Tank2WaterLevel,Tank2_Tank3OutFlow,Tank2.level,Tank2_puddle
1,0.05,-30.5,-20.5,6.89e-07,0.0,3.11e-07,0.0,0.0,0.022567583
2,0.1,0.0,16.5,0.003333928,0.0,15.500000405,0.0,-30.5,-30.477432417
3,-30.35,0.0,16.5,25.554484331,-20.5,-30.491149998,15.5,-30.5,0.022567583
4,-20.3,0.0,-20.5,0.077170513,0.0,0.029497154,0.0,0.0,0.022567583
5,25.75,0.0,-20.5,-30.43339889,0.0,0.040066557,0.0,0.0,0.022567583
6,0.3,0.0,-30.5,0.060735312,-30.5,0.045932355,0.0,-30.5,0.022567583
7,0.35,-30.5,1.0,0.095830375,25.5,0.054170625,0.0,-20.5,-30.477432417
8,0.4,0.0,1.0,0.123351477,0.0,0.066649523,25.5,0.0,25.522567583
9,-30.05,0.0,-20.5,15.619414404,0.0,0.087253262,15.5,15.5,0.022567583
10,0.5,0.0,0.0,0.112229993,0.0,0.094437674,0.0,0.0,-30.477432417
11,26.05,0.0,16.5,0.146386121,0.0,0.103614879,0.0,0.0,25.522567583
12,-19.9,0.0,1.0,0.173625351,15.5,25.616375649,-20.5,0.0,0.022567583
13,-29.85,0.0,-30.5,-30.330505101,0.0,0.137172767,0.0,-20.5,15.522567583
14,0.7,25.5,-30.5,0.162256312,0.0,0.144411354,0.0,0.0,0.022567583
15,0.75,15.5,26.5,0.196379501,0.0,0.153621499,25.5,0.0,0.022567583
16,16.3,0.0,1.0,0.223611824,0.0,0.166389176,0.0,0.0,-20.477432417
17,0.85,15.5,-30.5,15.719479885,-30.5,25.687187781,0.0,-20.5,0.022567583
18,26.4,-30.5,0.0,-30.287757333,0.0,0.194425,0.0,15.5,0.022567583
19,0.95,0.0,-29.5,0.246368772,0.0,-30.296367772,15.5,25.5,0.022567583
20,1.0,0.0,1.0,0.273602999,0.0,0.216398001,0.0,-30.5,0.022567583
21,26.55,0.0,25.5,0.269473487,0.0,0.23719418,-20.5,0.0,-20.477432417
22,1.1,0.0,0.0,0.262237563,0.0,0.244430104,0.0,-30.5,-30.477432417
23,1.15,0.0,1.0,0.296365175,0.0,0.253635825,0.0,0.0,-20.477432417
24,1.2,0.0,-19.5,15.823600163,0.0,0.266400837,15.5,0.0,0.022567583
25,-19.25,-20.5,0.0,15.81947151,-20.5,25.787196157,25.5,0.0,0.022567583
26,1.3,0.0,15.5,0.312236011,0.0,0.294431655,0.0,25.5,0.022567583
27,1.35,-30.5,-19.5,-30.153635902,0.0,0.303636902,0.0,15.5,-20.477432417
28,1.4,0.0,1.0,-20.126400681,0.0,-30.183598319,0.0,0.0,25.522567583
29,-29.05,0.0,-30.5,0.369470925,15.5,0.337196741,-30.5,0.0,0.022567583
30,-19.0,0.0,0.0,0.362235554,-20.5,-20.155567887,0.0,-20.5,25.522567583
31,27.05,0.0,1.0,0.396363781,0.0,0.353637219,0.0,0.0,0.022567583
32,1.6,15.5,1.0,0.423599072,0.0,15.866401928,0.0,0.0,0.022567583
33,1.65,0.0,25.5,15.919470754,-20.5,-20.112803087,0.0,0.0,0.022567583
34,-18.8,0.0,25.5,-20.087764579999998,15.5,15.894432247,0.0,-30.5,0.022567583
35,1.75,0.0,26.5,0.446363689,0.0,0.403637311,25.5,0.0,0.022567583
36,1.8,0.0,1.0,0.473598999,0.0,-20.083597999,25.5,0.0,15.522567583
37,27.35,0.0,0.0,0.469470704,0.0,0.437196963,-30.5,15.5,0.022567583
38,1.9,0.0,0.0,25.962235381,0.0,0.444432286,25.5,-20.5,-30.477432417
39,-18.55,0.0,26.5,15.996363662,0.0,15.953637338,0.0,-20.5,0.022567583
40,27.5,0.0,-29.5,-29.976401022,0.0,0.466402022,0.0,-20.5,25.522567583
41,17.55,25.5,-20.5,0.519470689,25.5,-20.012803022,0.0,0.0,0.022567583
42,-28.4,0.0,0.0,0.512235369,15.5,0.494432298,25.5,0.0,0.022567583
43,-18.35,25.5,1.0,-29.953636346,-20.499757,0.503636023,0.0,0.0,25.522567583
44,-18.3,0.0,1.0,-19.926403625,0.00207976,0.516361988,-20.5,8.92e-06,-30.477432417
45,2.25,15.5,0.0,0.569430045,-20.493844093,-19.963052374,0.0,25.500128,0.022567583
46,-28.2,0.0,-20.5,0.562125643,0.008048791,0.543964219,0.0,0.00036,0.022567583
47,2.35,25.5,1.0,16.096079808,25.509837474,26.052807344,0.0,0.000837,0.022567583
48,2.4,0.0,-29.5,0.623159296,0.011853142,16.06529771,0.0,0.00122439,25.522567583
49,27.95,0.0,0.0,-29.88126911,-30.484102397,0.585559534,0.0,0.001928859,-20.477432417
