,date,pollution,dew,temp,press,wnd_spd,snow,rain,annot
0,2010-01-02 00:00:00,129.0,-16.0,-4.0,1020.0,1.79,0,0,clean
1,2010-01-02 01:00:00,148.0,-15.0,-4.0,1020.0,2.68,0,0,clean
2,2010-01-02 02:00:00,159.0,-11.0,-5.0,1021.0,3.57,0,0,clean
3,2010-01-02 03:00:00,181.0,-7.0,-5.0,1022.0,5.36,1,0,clean
4,2010-01-02 04:00:00,138.0,-7.0,-5.0,1022.0,6.25,2,0,clean
5,2010-01-02 05:00:00,109.0,-7.0,-6.0,1022.0,7.14,3,0,clean
6,2010-01-02 06:00:00,105.0,-7.0,-6.0,1023.0,8.93,4,0,clean
7,2010-01-02 07:00:00,124.0,-20.5,-5.0,1024.0,10.72,0,0,random
8,2010-01-02 08:00:00,120.0,-8.0,-6.0,1024.0,12.51,0,0,clean
9,2010-01-02 09:00:00,132.0,-7.0,-5.0,1025.0,14.3,0,0,clean
10,2010-01-02 10:00:00,140.0,-7.0,-5.0,1026.0,17.43,1,0,clean
11,2010-01-02 11:00:00,152.0,-8.0,-5.0,1026.0,20.56,0,0,clean
12,2010-01-02 12:00:00,148.0,25.5,-5.0,1026.0,23.69,0,0,random
13,2010-01-02 13:00:00,164.0,-8.0,-5.0,1025.0,27.71,0,0,clean
14,2010-01-02 14:00:00,158.0,-9.0,-5.0,1025.0,31.73,0,0,clean
15,2010-01-02 15:00:00,154.0,-9.0,-5.0,1025.0,35.75,0,0,clean
16,2010-01-02 16:00:00,159.0,-9.0,-5.0,1026.0,37.54,0,0,clean
17,2010-01-02 17:00:00,164.0,0.0,-5.0,1027.0,39.33,0,0,random
18,2010-01-02 18:00:00,170.0,0.0,-5.0,1027.0,42.46,0,0,random
19,2010-01-02 19:00:00,149.0,-8.0,-5.0,1028.0,44.25,0,0,clean
20,2010-01-02 20:00:00,154.0,-7.0,-5.0,1028.0,46.04,0,0,clean
21,2010-01-02 21:00:00,164.0,-30.5,-5.0,1027.0,49.17,1,0,random
22,2010-01-02 22:00:00,156.0,-8.0,-6.0,1028.0,52.3,2,0,clean
23,2010-01-02 23:00:00,126.0,-8.0,-6.0,1027.0,55.43,3,0,clean
24,2010-01-03 00:00:00,90.0,-7.0,-6.0,1027.0,58.56,4,0,clean
25,2010-01-03 01:00:00,63.0,-8.0,-6.0,1026.0,61.69,5,0,clean
26,2010-01-03 02:00:00,65.0,-8.0,-7.0,1026.0,65.71,6,0,clean
27,2010-01-03 03:00:00,55.0,-8.0,-7.0,1025.0,68.84,7,0,clean
28,2010-01-03 04:00:00,65.0,-8.0,-7.0,1024.0,72.86,8,0,clean
29,2010-01-03 05:00:00,83.0,-9.0,-8.0,1024.0,76.88,9,0,clean
30,2010-01-03 06:00:00,91.0,-10.0,-8.0,1024.0,80.9,10,0,clean
31,2010-01-03 07:00:00,86.0,-10.0,-9.0,1024.0,84.92,11,0,clean
32,2010-01-03 08:00:00,82.0,-10.0,-9.0,1024.0,89.84,12,0,clean
33,2010-01-03 09:00:00,86.0,-11.0,-9.0,1023.0,93.86,13,0,clean
34,2010-01-03 10:00:00,78.0,-11.0,-9.0,1023.0,97.88,15,0,clean
35,2010-01-03 11:00:00,98.0,-11.0,-9.0,1022.0,102.8,16,0,clean
36,2010-01-03 12:00:00,107.0,-11.0,-9.0,1021.0,105.93,17,0,clean
37,2010-01-03 13:00:00,90.0,-11.0,-9.0,1020.0,111.74,19,0,clean
38,2010-01-03 14:00:00,96.0,-11.0,-9.0,1020.0,116.66,20,0,clean
39,2010-01-03 15:00:00,95.0,-11.0,-9.0,1020.0,121.58,21,0,clean
40,2010-01-03 16:00:00,86.0,-11.0,-9.0,1020.0,124.71,22,0,clean
41,2010-01-03 17:00:00,70.0,-11.0,-9.0,1020.0,127.84,23,0,clean
42,2010-01-03 18:00:00,61.0,-11.0,-9.0,1021.0,0.89,24,0,clean
43,2010-01-03 19:00:00,53.0,-11.0,-9.0,1022.0,1.78,25,0,clean
44,2010-01-03 20:00:00,71.0,-10.0,-9.0,1022.0,4.02,26,0,clean
45,2010-01-03 21:00:00,72.0,-11.0,-10.0,1023.0,7.15,27,0,clean
46,2010-01-03 22:00:00,76.0,-11.0,-9.0,1023.0,11.17,0,0,clean
47,2010-01-03 23:00:00,73.0,-12.0,-11.0,1023.0,14.3,0,0,clean
48,2010-01-04 00:00:00,79.0,-30.5,-12.0,1023.0,16.09,0,0,random
49,2010-01-04 01:00:00,58.0,-16.0,-9.0,1023.0,21.9,0,0,clean
50,2010-01-04 02:00:00,25.0,-17.0,-10.0,1024.0,29.95,0,0,clean
51,2010-01-04 03:00:00,26.0,-18.0,-11.0,1024.0,39.78,0,0,clean
52,2010-01-04 04:00:00,28.0,-19.0,-11.0,1025.0,48.72,0,0,clean
53,2010-01-04 05:00:00,26.0,-20.0,-12.0,1026.0,55.87,0,0,clean
54,2010-01-04 06:00:00,20.0,-21.0,-12.0,1027.0,64.81,0,0,clean
55,2010-01-04 07:00:00,29.0,-21.0,-13.0,1027.0,73.75,0,0,clean
