Tank_1,Tank_2,Tank_3,Pump_1
0.075712734,0.10112895,0.049667544,0.117643514
0.075497256,0.06283324,0.050444197,0.115205846
0.066217013,0.038384522,0.024719781,0.128149782
0.083397045,0.045675518,0.030200144,0.117458899
0.07083288,0.068200735,0.021804071,0.1250928
0.04476232,0.040478513,0.036728094,0.129738469
0.090552288,0.051468181,0.042160687,0.12159853
0.064762349,0.030382949,0.036292838,0.124281457
0.054567907,0.060909768,0.033400179,0.117305263
0.070176828,0.058507188,0.02849213,0.120434969
0.051990183,0.035729495,0.043656397,0.117159971
0.075249009,0.069137551,0.05870474,0.126524812
0.058122753,0.097031349,0.029912318,0.115732462
0.073558974,0.065544281,0.052374168,0.109556057
0.071060762,0.073626322,0.029435964,0.129569105
0.106413303,0.032662861,0.05498671,0.116834231
0.048705837,0.065745839,0.037043445,0.129542378
0.093649661,0.058193809,0.044398616,0.13243662
0.053805327,0.077999321,0.036657516,0.11635204
0.064022955,0.041074927,0.044574979,0.108589665
0.102707207,0.056352716,0.042005132,0.11011127
0.090483312,0.059647311,0.045330996,0.122741028
0.073207208,0.0495227,0.036282073,0.104737577
0.076346152,0.040856071,0.021946137,0.103708138
0.066178816,0.087513946,0.057377925,0.105441796
0.075685898,0.046895043,0.039222571,0.10490745
0.097465768,0.041565706,0.028677894,0.13236395
0.077070351,0.037488499,0.055530224,0.111263679
0.068627611,0.038092677,0.035011658,0.107726744
0.084253161,0.052994581,0.032181448,0.124042029
0.072004177,0.039628601,0.032201844,0.10310841
0.066052152,0.058912082,0.04212835,0.100213681
0.059550933,0.073858273,0.043715388,0.115204136
