Time,Tank_1,Tank_2,Tank_3,Pump_1,Pump_2,Flow_sensor_4
09/04/2021 18:23,0,0,0,0,0,0
09/04/2021 18:23,0,0,0,0,0,0
09/04/2021 18:23,0,0,0,0,0,0
09/04/2021 18:23,0,0,0,0,0,0
09/04/2021 18:23,0,0,0,1,1,0
09/04/2021 18:23,0,0,0,1,1,0
09/04/2021 18:23,54,0,0,1,1,0
09/04/2021 18:23,162,0,0,1,1,0
09/04/2021 18:23,210,0,0,1,1,0
09/04/2021 18:23,277,0,0,1,1,0
09/04/2021 18:23,305,0,0,1,1,0
09/04/2021 18:23,347,0,0,1,1,0
09/04/2021 18:23,396,10,0,1,1,0
09/04/2021 18:23,426,95,0,1,1,0
09/04/2021 18:23,451,138,0,1,1,0
09/04/2021 18:23,485,182,0,1,1,0
09/04/2021 18:23,511,222,0,1,1,0
09/04/2021 18:23,557,251,0,1,1,0
09/04/2021 18:23,585,291,0,1,1,0
09/04/2021 18:23,613,317,0,1,1,0
09/04/2021 18:23,649,344,0,1,1,0
09/04/2021 18:23,679,365,0,1,1,0
09/04/2021 18:23,719,398,0,1,1,0
09/04/2021 18:23,746,420,0,1,1,0
09/04/2021 18:23,756,427,0,1,1,0
09/04/2021 18:23,784,475,0,1,1,0
09/04/2021 18:23,817,494,0,1,1,0
09/04/2021 18:23,836,529,0,1,1,0
09/04/2021 18:23,871,547,0,1,1,0
09/04/2021 18:23,909,575,0,1,1,0
09/04/2021 18:23,933,589,0,1,1,0
09/04/2021 18:23,957,629,0,1,1,0
09/04/2021 18:24,992,639,0,1,1,0
09/04/2021 18:24,1037,658,0,1,1,0
09/04/2021 18:24,1054,680,0,1,1,0
09/04/2021 18:24,1078,697,0,1,1,0
09/04/2021 18:24,1095,720,0,1,1,0
09/04/2021 18:24,1125,753,0,1,1,0
09/04/2021 18:24,1149,777,0,1,1,0
09/04/2021 18:24,1198,782,0,1,1,0
09/04/2021 18:24,1221,822,0,1,1,0
09/04/2021 18:24,1240,834,0,1,1,0
09/04/2021 18:24,1270,887,0,1,1,0
09/04/2021 18:24,1310,887,0,1,1,0
09/04/2021 18:24,1328,920,0,1,1,0
09/04/2021 18:24,1364,935,0,1,1,0
09/04/2021 18:24,1373,949,0,1,1,0
09/04/2021 18:24,1414,985,0,1,1,0
09/04/2021 18:24,1447,991,0,1,1,0
09/04/2021 18:24,1468,1027,0,1,1,0
09/04/2021 18:24,1506,1056,0,1,1,0
09/04/2021 18:24,1549,1072,0,1,1,0
09/04/2021 18:24,1543,1099,0,1,1,0
09/04/2021 18:24,1582,1108,0,1,1,0
09/04/2021 18:24,1614,1153,0,1,1,0
09/04/2021 18:24,1643,1156,0,1,1,0
09/04/2021 18:24,1676,1187,0,1,1,0
09/04/2021 18:24,1704,1215,0,1,1,0
09/04/2021 18:24,1745,1237,0,1,1,0
09/04/2021 18:24,1770,1256,0,1,1,0
09/04/2021 18:24,1805,1285,0,1,1,0
09/04/2021 18:24,1818,1298,0,1,1,0
09/04/2021 18:24,1859,1324,0,1,1,0
09/04/2021 18:24,1873,1353,0,1,1,0
09/04/2021 18:24,1894,1367,0,1,1,0
09/04/2021 18:24,1946,1376,0,1,1,0
09/04/2021 18:24,1968,1398,0,1,1,0
09/04/2021 18:24,1974,1402,0,1,0,0
09/04/2021 18:24,1970,1461,0,1,0,0
09/04/2021 18:24,1949,1482,0,1,0,0
09/04/2021 18:24,1935,1501,0,1,0,0
09/04/2021 18:24,1916,1518,0,1,0,0
09/04/2021 18:24,1908,1538,0,1,0,0
09/04/2021 18:24,1894,1560,0,1,0,0
09/04/2021 18:24,1876,1593,0,1,0,0
09/04/2021 18:24,1861,1615,0,1,0,0
09/04/2021 18:24,1847,1632,0,1,0,0
09/04/2021 18:24,1830,1664,0,1,0,0
09/04/2021 18:24,1818,1677,0,1,0,0
09/04/2021 18:24,1801,1716,0,1,0,0
09/04/2021 18:24,1784,1736,0,1,0,0
09/04/2021 18:24,1774,1768,0,1,0,0
09/04/2021 18:24,1758,1767,0,1,0,0
09/04/2021 18:24,1741,1794,0,1,0,0
09/04/2021 18:24,1727,1803,0,1,0,0
09/04/2021 18:24,1708,1846,0,1,0,0
09/04/2021 18:24,1696,1860,0,1,0,0
09/04/2021 18:24,1675,1881,0,1,0,0
09/04/2021 18:24,1665,1912,0,1,0,0
09/04/2021 18:24,1649,1934,0,1,0,0
09/04/2021 18:24,1632,1949,0,1,0,0
09/04/2021 18:24,1620,1944,18,0,0,0
09/04/2021 18:25,1603,1937,94,0,0,0
09/04/2021 18:25,1590,1927,138,0,0,0
09/04/2021 18:25,1575,1911,170,0,0,0
09/04/2021 18:25,1559,1900,199,0,0,0
09/04/2021 18:25,1542,1885,233,0,0,0
09/04/2021 18:25,1530,1871,256,0,0,0
09/04/2021 18:25,1512,1858,286,0,0,0
09/04/2021 18:25,1501,1844,306,0,0,0
09/04/2021 18:25,1480,1828,329,0,0,0
09/04/2021 18:25,1469,1818,360,0,0,0
09/04/2021 18:25,1453,1808,383,0,0,0
09/04/2021 18:25,1437,1792,407,0,0,0
09/04/2021 18:25,1425,1782,415,0,0,0
09/04/2021 18:25,1406,1762,426,0,0,0
09/04/2021 18:25,1393,1752,436,0,0,0
09/04/2021 18:25,1378,1738,448,0,0,0
09/04/2021 18:25,1364,1721,460,0,0,0
09/04/2021 18:25,1348,1706,466,0,0,0
09/04/2021 18:25,1334,1695,473,0,0,0
09/04/2021 18:25,1320,1683,481,0,0,0
09/04/2021 18:25,1305,1667,492,0,0,0
09/04/2021 18:25,1292,1660,501,0,0,0
09/04/2021 18:25,1272,1642,509,0,0,0
09/04/2021 18:25,1264,1630,519,0,0,0
09/04/2021 18:25,1244,1614,530,0,0,0
09/04/2021 18:25,1230,1605,537,0,0,0
09/04/2021 18:25,1214,1588,550,0,0,0
09/04/2021 18:25,1203,1574,558,0,0,0
09/04/2021 18:25,1185,1563,567,0,0,0
09/04/2021 18:25,1174,1546,576,0,0,0
09/04/2021 18:25,1159,1537,586,0,0,0
09/04/2021 18:25,1142,1521,595,0,0,0
09/04/2021 18:25,1138,1510,603,0,0,0
09/04/2021 18:25,1126,1494,614,0,0,0
09/04/2021 18:25,1114,1482,619,0,0,0
09/04/2021 18:25,1097,1468,631,0,0,0
09/04/2021 18:25,1085,1455,638,0,0,0
09/04/2021 18:25,1070,1440,646,0,0,0
09/04/2021 18:25,1058,1429,656,0,0,0
09/04/2021 18:25,1046,1417,666,0,0,0
09/04/2021 18:25,1031,1403,677,0,0,0
09/04/2021 18:25,1018,1392,683,0,0,0
09/04/2021 18:25,1003,1377,693,0,0,0
09/04/2021 18:25,991,1365,701,0,0,0
09/04/2021 18:25,974,1350,711,0,0,0
09/04/2021 18:25,962,1340,719,0,0,0
09/04/2021 18:25,946,1325,729,0,0,0
09/04/2021 18:25,935,1313,736,0,0,0
09/04/2021 18:25,922,1301,743,0,0,0
09/04/2021 18:25,906,1288,753,0,0,0
09/04/2021 18:25,894,1276,760,0,0,0
09/04/2021 18:25,878,1261,769,0,0,0
09/04/2021 18:25,865,1250,774,0,0,0
09/04/2021 18:25,850,1236,787,0,0,0
09/04/2021 18:25,839,1225,790,0,0,0
09/04/2021 18:25,823,1209,802,0,0,0
09/04/2021 18:25,810,1199,808,0,0,0
09/04/2021 18:25,795,1188,815,0,0,0
09/04/2021 18:25,782,1172,824,0,0,0
09/04/2021 18:25,770,1161,832,0,0,0
09/04/2021 18:26,755,1147,842,0,0,0
09/04/2021 18:26,742,1136,846,0,0,0
09/04/2021 18:26,727,1122,858,0,0,0
09/04/2021 18:26,715,1111,864,0,0,0
09/04/2021 18:26,700,1097,872,0,0,0
09/04/2021 18:26,687,1085,880,0,0,0
09/04/2021 18:26,672,1070,885,0,0,0
09/04/2021 18:26,660,1058,897,0,0,0
09/04/2021 18:26,648,1047,899,0,0,0
09/04/2021 18:26,632,1033,909,0,0,0
09/04/2021 18:26,620,1022,916,0,0,0
09/04/2021 18:26,604,1008,925,0,0,0
09/04/2021 18:26,592,997,932,0,0,0
09/04/2021 18:26,576,982,937,0,0,0
09/04/2021 18:26,564,970,945,0,0,0
09/04/2021 18:26,547,956,954,0,0,0
09/04/2021 18:26,535,945,962,0,0,0
09/04/2021 18:26,522,933,965,0,0,0
09/04/2021 18:26,506,918,975,0,0,0
09/04/2021 18:26,494,907,982,0,0,0
09/04/2021 18:26,476,893,991,0,0,0
09/04/2021 18:26,464,881,998,0,0,0
09/04/2021 18:26,447,867,1006,0,0,0
09/04/2021 18:26,434,856,1011,0,0,0
09/04/2021 18:26,416,841,1021,0,0,0
09/04/2021 18:26,402,830,1027,0,0,0
09/04/2021 18:26,384,818,1034,0,0,0
09/04/2021 18:26,371,803,1041,0,0,0
09/04/2021 18:26,356,793,1047,0,0,0
09/04/2021 18:26,336,778,1060,0,0,0
09/04/2021 18:26,322,767,1064,0,0,0
09/04/2021 18:26,300,753,1071,0,0,0
09/04/2021 18:26,283,742,1075,0,0,0
09/04/2021 18:26,260,727,1089,0,0,0
09/04/2021 18:26,241,717,1094,0,0,0
09/04/2021 18:26,215,701,1099,0,0,0
09/04/2021 18:26,191,691,1107,0,0,0
09/04/2021 18:26,165,679,1115,0,0,0
09/04/2021 18:26,125,666,1120,0,0,0
09/04/2021 18:26,90,654,1127,0,0,0
09/04/2021 18:26,40,640,1133,0,0,0
09/04/2021 18:26,3,628,1142,0,0,0
09/04/2021 18:26,1,614,1149,0,0,0
09/04/2021 18:26,1,602,1154,0,0,0
09/04/2021 18:26,1,589,1161,0,0,0
09/04/2021 18:26,1,577,1168,0,0,0
09/04/2021 18:26,1,567,1172,0,0,0
09/04/2021 18:26,1,552,1180,0,0,0
09/04/2021 18:26,1,541,1186,0,0,0
09/04/2021 18:26,2,525,1192,0,0,0
09/04/2021 18:26,2,514,1198,0,0,0
09/04/2021 18:26,1,498,1206,0,0,0
09/04/2021 18:26,2,487,1211,0,0,0
09/04/2021 18:26,2,472,1218,0,0,0
09/04/2021 18:26,2,460,1221,0,0,0
09/04/2021 18:26,2,447,1226,0,0,0
09/04/2021 18:26,2,432,1235,0,0,0
09/04/2021 18:26,2,420,1240,0,0,0
09/04/2021 18:26,3,404,1250,0,0,0
09/04/2021 18:26,2,392,1255,0,0,0
09/04/2021 18:27,2,375,1263,0,0,0
09/04/2021 18:27,2,362,1267,0,0,0
09/04/2021 18:27,3,345,1275,0,0,0
09/04/2021 18:27,2,332,1279,0,0,0
09/04/2021 18:27,2,315,1285,0,0,0
09/04/2021 18:27,3,300,1293,0,0,0
09/04/2021 18:27,3,286,1297,0,0,0
09/04/2021 18:27,3,267,1303,0,0,0
09/04/2021 18:27,3,251,1307,0,0,0
09/04/2021 18:27,4,231,1316,0,0,0
09/04/2021 18:27,3,214,1322,0,0,0
09/04/2021 18:27,3,192,1326,0,0,0
09/04/2021 18:27,3,174,1332,0,0,0
09/04/2021 18:27,3,147,1340,0,0,0
09/04/2021 18:27,4,125,1345,0,0,0
09/04/2021 18:27,4,100,1349,0,0,0
09/04/2021 18:27,3,59,1353,0,0,0
09/04/2021 18:27,3,27,1359,0,0,0
09/04/2021 18:27,3,2,1353,0,0,0
09/04/2021 18:27,3,1,1342,0,0,0
09/04/2021 18:27,4,1,1328,0,0,0
09/04/2021 18:27,4,1,1316,0,0,0
09/04/2021 18:27,4,2,1300,0,0,0
09/04/2021 18:27,4,2,1288,0,0,0
09/04/2021 18:27,4,2,1275,0,0,0
09/04/2021 18:27,4,2,1258,0,0,0
09/04/2021 18:27,4,3,1245,0,0,0
09/04/2021 18:27,4,3,1227,0,0,0
