date,dew,pollution,temp,press,wnd_dir,wnd_spd,snow,rain
02/01/2010 00:00,-16,129,-4,1020,SE,1.79,0,0
02/01/2010 01:00,-15,148,-4,1020,SE,2.68,0,0
02/01/2010 02:00,-11,159,-5,1021,SE,3.57,0,0
02/01/2010 03:00,-7,181,-5,1022,SE,5.36,1,0
02/01/2010 04:00,-7,138,-5,1022,SE,6.25,2,0
02/01/2010 05:00,-7,109,-6,1022,SE,7.14,3,0
02/01/2010 06:00,-7,105,-6,1023,SE,8.93,4,0
02/01/2010 07:00,-7,124,-5,1024,SE,10.72,0,0
02/01/2010 08:00,-8,120,-6,1024,SE,12.51,0,0
02/01/2010 09:00,-7,132,-5,1025,SE,14.3,0,0
02/01/2010 10:00,-7,140,-5,1026,SE,17.43,1,0
02/01/2010 11:00,-8,152,-5,1026,SE,20.56,0,0
02/01/2010 12:00,-8,148,-5,1026,SE,23.69,0,0
02/01/2010 13:00,-8,164,-5,1025,SE,27.71,0,0
02/01/2010 14:00,-9,158,-5,1025,SE,31.73,0,0
02/01/2010 15:00,-9,154,-5,1025,SE,35.75,0,0
02/01/2010 16:00,-9,159,-5,1026,SE,37.54,0,0
02/01/2010 17:00,-8,164,-5,1027,SE,39.33,0,0
02/01/2010 18:00,-8,170,-5,1027,SE,42.46,0,0
02/01/2010 19:00,-8,149,-5,1028,SE,44.25,0,0
02/01/2010 20:00,-7,154,-5,1028,SE,46.04,0,0
02/01/2010 21:00,-7,164,-5,1027,SE,49.17,1,0
02/01/2010 22:00,-8,156,-6,1028,SE,52.3,2,0
02/01/2010 23:00,-8,126,-6,1027,SE,55.43,3,0
03/01/2010 00:00,-7,90,-6,1027,SE,58.56,4,0
03/01/2010 01:00,-8,63,-6,1026,SE,61.69,5,0
03/01/2010 02:00,-8,65,-7,1026,SE,65.71,6,0
03/01/2010 03:00,-8,55,-7,1025,SE,68.84,7,0
03/01/2010 04:00,-8,65,-7,1024,SE,72.86,8,0
03/01/2010 05:00,-9,83,-8,1024,SE,76.88,9,0
03/01/2010 06:00,-10,91,-8,1024,SE,80.9,10,0
03/01/2010 07:00,-10,86,-9,1024,SE,84.92,11,0
03/01/2010 08:00,-10,82,-9,1024,SE,89.84,12,0
03/01/2010 09:00,-11,86,-9,1023,SE,93.86,13,0
03/01/2010 10:00,-11,78,-9,1023,SE,97.88,15,0
03/01/2010 11:00,-11,98,-9,1022,SE,102.8,16,0
03/01/2010 12:00,-11,107,-9,1021,SE,105.93,17,0
03/01/2010 13:00,-11,90,-9,1020,SE,111.74,19,0
03/01/2010 14:00,-11,96,-9,1020,SE,116.66,20,0
03/01/2010 15:00,-11,95,-9,1020,SE,121.58,21,0
03/01/2010 16:00,-11,86,-9,1020,SE,124.71,22,0
03/01/2010 17:00,-11,70,-9,1020,SE,127.84,23,0
03/01/2010 18:00,-11,61,-9,1021,cv,0.89,24,0
03/01/2010 19:00,-11,53,-9,1022,cv,1.78,25,0
03/01/2010 20:00,-10,71,-9,1022,NW,4.02,26,0
03/01/2010 21:00,-11,72,-10,1023,NW,7.15,27,0
03/01/2010 22:00,-11,76,-9,1023,NW,11.17,0,0
03/01/2010 23:00,-12,73,-11,1023,NW,14.3,0,0
04/01/2010 00:00,-14,79,-12,1023,NW,16.09,0,0
04/01/2010 01:00,-16,58,-9,1023,NW,21.9,0,0
04/01/2010 02:00,-17,25,-10,1024,NW,29.95,0,0
04/01/2010 03:00,-18,26,-11,1024,NW,39.78,0,0
04/01/2010 04:00,-19,28,-11,1025,NW,48.72,0,0
04/01/2010 05:00,-20,26,-12,1026,NW,55.87,0,0
04/01/2010 06:00,-21,20,-12,1027,NW,64.81,0,0
04/01/2010 07:00,-21,29,-13,1027,NW,73.75,0,0
04/01/2010 08:00,-22,26,-13,1028,NW,80.9,0,0
04/01/2010 09:00,-22,27,-13,1029,NW,90.73,0,0
