time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
0,0,1.00E-06,0,0,0,0.022567583,0,0,FALSE
0.05,0,6.89E-07,3.11E-07,0,0,0.022567583,0,0,FALSE
0.1,1,0.003333928,4.05E-07,0,0,0.022567583,0,0,FALSE
0.15,1,0.054484331,0.008850002,0,0,0.022567583,0,0,FALSE
0.2,0,0.077170513,0.029497154,0,0,0.022567583,0,0,FALSE
0.25,0,0.06660111,0.040066557,0,0,0.022567583,0,0,FALSE
0.3,0,0.060735312,0.045932355,0,0,0.022567583,0,0,FALSE
0.35,1,0.095830375,0.054170625,0,0,0.022567583,0,0,FALSE
0.4,1,0.123351477,0.066649523,0,0,0.022567583,0,0,FALSE
0.45,0,0.119414404,0.087253262,0,0,0.022567583,0,0,FALSE
0.5,0,0.112229993,0.094437674,0,0,0.022567583,0,0,FALSE
0.55,1,0.146386121,0.103614879,0,0,0.022567583,0,0,FALSE
0.6,1,0.173625351,0.116375649,0,0,0.022567583,0,0,FALSE
0.65,0,0.169494899,0.137172767,0,0,0.022567583,0,0,FALSE
0.7,0,0.162256312,0.144411354,0,0,0.022567583,0,0,FALSE
0.75,1,0.196379501,0.153621499,0,0,0.022567583,0,0,FALSE
0.8,1,0.223611824,0.166389176,0,0,0.022567583,0,0,FALSE
0.85,0,0.219479885,0.187187781,0,0,0.022567583,0,0,FALSE
0.9,0,0.212242667,0.194425,0,0,0.022567583,0,0,FALSE
0.95,1,0.246368772,0.203632228,0,0,0.022567583,0,0,FALSE
1,1,0.273602999,0.216398001,0,0,0.022567583,0,0,FALSE
1.05,0,0.269473487,0.23719418,0,0,0.022567583,0,0,FALSE
1.1,0,0.262237563,0.244430104,0,0,0.022567583,0,0,FALSE
1.15,1,0.296365175,0.253635825,0,0,0.022567583,0,0,FALSE
1.2,1,0.323600163,0.266400837,0,0,0.022567583,0,0,FALSE
1.25,0,0.31947151,0.287196157,0,0,0.022567583,0,0,FALSE
1.3,0,0.312236011,0.294431655,0,0,0.022567583,0,0,FALSE
1.35,1,0.346364098,0.303636902,0,0,0.022567583,0,0,FALSE
1.4,1,0.373599319,0.316401681,0,0,0.022567583,0,0,FALSE
1.45,0,0.369470925,0.337196741,0,0,0.022567583,0,0,FALSE
1.5,0,0.362235554,0.344432113,0,0,0.022567583,0,0,FALSE
1.55,1,0.396363781,0.353637219,0,0,0.022567583,0,0,FALSE
1.6,1,0.423599072,0.366401928,0,0,0.022567583,0,0,FALSE
1.65,0,0.419470754,0.387196913,0,0,0.022567583,0,0,FALSE
1.7,0,0.41223542,0.394432247,0,0,0.022567583,0,0,FALSE
1.75,1,0.446363689,0.403637311,0,0,0.022567583,0,0,FALSE
1.8,1,0.473598999,0.416402001,0,0,0.022567583,0,0,FALSE
1.85,0,0.469470704,0.437196963,0,0,0.022567583,0,0,FALSE
1.9,0,0.462235381,0.444432286,0,0,0.022567583,0,0,FALSE
1.95,1,0.496363662,0.453637338,0,0,0.022567583,0,0,FALSE
2,1,0.523598978,0.466402022,0,0,0.022567583,0,0,FALSE
2.05,0,0.519470689,0.487196978,0,0,0.022567583,0,0,FALSE
2.1,0,0.512235369,0.494432298,0,0,0.022567583,0,0,FALSE
2.15,1,0.546363654,0.503636023,2.43E-04,0.024332245,0.022567583,0,0,FALSE
2.2,1,0.573596375,0.516361988,0.00207976,0.207976031,0.022567583,0,8.92E-06,FALSE
2.25,0,0.569430045,0.536947626,0.006155907,0.615590651,0.022567583,0,1.28E-04,FALSE
2.3,0,0.562125643,0.543964219,0.008048791,0.804879071,0.022567583,0,3.60E-04,FALSE
2.35,1,0.596079808,0.552807344,0.009837474,0.983747407,0.022567583,0,8.37E-04,FALSE
2.4,1,0.623159296,0.56529771,0.011853142,1.185314239,0.022567583,0,0.00122439,FALSE
2.45,0,0.61873089,0.585559534,0.015897603,1.589760281,0.022567583,0,0.001928859,FALSE
2.5,0,0.611241001,0.59237274,0.017750586,1.775058591,0.022567583,0,0.002551282,FALSE
2.55,1,0.644910381,0.600920337,0.019479675,1.947967493,0.022567583,0,0.00361014,FALSE
2.6,1,0.671798312,0.613217353,0.02145641,2.145640979,0.022567583,0,0.004383564,FALSE
2.65,0,0.667082213,0.633192405,0.02544326,2.544325986,0.022567583,0,0.005664359,FALSE
2.7,0,0.659400887,0.639815984,0.027258198,2.725819754,0.022567583,0,0.0066688,FALSE
2.75,1,0.692784136,0.648080958,0.028930617,2.893061741,0.022567583,0,0.008298242,FALSE
2.8,1,0.719482125,0.660190629,0.030869799,3.086979884,0.022567583,0,0.009449892,FALSE
2.85,0,0.714482438,0.679886149,0.034800624,3.48006241,0.022567583,0,0.011295616,FALSE
2.9,0,0.70661296,0.686324328,0.036578406,3.657840584,0.022567583,0,0.012674538,FALSE
2.95,1,0.739715361,0.694312602,0.038195374,3.819537401,0.022567583,0,0.014863317,FALSE
3,1,0.766227042,0.706238729,0.040097773,4.009777295,0.022567583,0,0.016385742,FALSE
3.05,0,0.760949271,0.725660302,0.043973699,4.397369941,0.022567583,0,0.018785267,FALSE
3.1,0,0.752895323,0.731916757,0.045715064,4.571506392,0.022567583,0,0.020531295,FALSE
