time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank1InFlow,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{controller}.controller.wt3_valve,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level
0,0,1.00E-06,0,0,0,0,0,0.022567583,0,0
0.05,0,6.89E-07,3.11E-07,0,0,0,0,0.022567583,0,0
0.1,1,0.003333928,4.05E-07,1,0,0,0,0.022567583,0,0
0.15,1,0.054484331,0.008850002,1,0,0,0,0.022567583,0,0
0.2,0,0.077170513,0.029497154,0,0,0,0,0.022567583,0,0
0.25,0,0.06660111,0.040066557,0,0,0,0,0.022567583,0,0
0.3,0,0.060735312,0.045932355,0,0,0,0,0.022567583,0,0
0.35,1,0.095830375,0.054170625,1,0,0,0,0.022567583,0,0
0.4,1,0.123351477,0.066649523,1,0,0,0,0.022567583,0,0
0.45,0,0.119414404,0.087253262,0,0,0,0,0.022567583,0,0
0.5,0,0.112229993,0.094437674,0,0,0,0,0.022567583,0,0
0.55,1,0.146386121,0.103614879,1,0,0,0,0.022567583,0,0
0.6,1,0.173625351,0.116375649,1,0,0,0,0.022567583,0,0
0.65,0,0.169494899,0.137172767,0,0,0,0,0.022567583,0,0
0.7,0,0.162256312,0.144411354,0,0,0,0,0.022567583,0,0
0.75,1,0.196379501,0.153621499,1,0,0,0,0.022567583,0,0
0.8,1,0.223611824,0.166389176,1,0,0,0,0.022567583,0,0
0.85,0,0.219479885,0.187187781,0,0,0,0,0.022567583,0,0
0.9,0,0.212242667,0.194425,0,0,0,0,0.022567583,0,0
0.95,1,0.246368772,0.203632228,1,0,0,0,0.022567583,0,0
1,1,0.273602999,0.216398001,1,0,0,0,0.022567583,0,0
1.05,0,0.269473487,0.23719418,0,0,0,0,0.022567583,0,0
1.1,0,0.262237563,0.244430104,0,0,0,0,0.022567583,0,0
1.15,1,0.296365175,0.253635825,1,0,0,0,0.022567583,0,0
1.2,1,0.323600163,0.266400837,1,0,0,0,0.022567583,0,0
1.25,0,0.31947151,0.287196157,0,0,0,0,0.022567583,0,0
1.3,0,0.312236011,0.294431655,0,0,0,0,0.022567583,0,0
1.35,1,0.346364098,0.303636902,1,0,0,0,0.022567583,0,0
1.4,1,0.373599319,0.316401681,1,0,0,0,0.022567583,0,0
1.45,0,0.369470925,0.337196741,0,0,0,0,0.022567583,0,0
1.5,0,0.362235554,0.344432113,0,0,0,0,0.022567583,0,0
1.55,1,0.396363781,0.353637219,1,0,0,0,0.022567583,0,0
1.6,1,0.423599072,0.366401928,1,0,0,0,0.022567583,0,0
1.65,0,0.419470754,0.387196913,0,0,0,0,0.022567583,0,0
1.7,0,0.41223542,0.394432247,0,0,0,0,0.022567583,0,0
1.75,1,0.446363689,0.403637311,1,0,0,0,0.022567583,0,0
1.8,1,0.473598999,0.416402001,1,0,0,0,0.022567583,0,0
1.85,0,0.469470704,0.437196963,0,0,0,0,0.022567583,0,0
1.9,0,0.462235381,0.444432286,0,0,0,0,0.022567583,0,0
1.95,1,0.496363662,0.453637338,1,0,0,0,0.022567583,0,0
2,1,0.523598978,0.466402022,1,0,0,0,0.022567583,0,0
2.05,0,0.519470689,0.487196978,0,0,0,0,0.022567583,0,0
2.1,0,0.512235369,0.494432298,0,0,0,0,0.022567583,0,0
2.15,1,0.546363654,0.503636023,1,2.43E-04,0.024332245,0,0.022567583,0,0
2.2,1,0.573596375,0.516361988,1,0.00207976,0.207976031,0,0.022567583,0,8.92E-06
2.25,0,0.569430045,0.536947626,0,0.006155907,0.615590651,0,0.022567583,0,1.28E-04
2.3,0,0.562125643,0.543964219,0,0.008048791,0.804879071,0,0.022567583,0,3.60E-04
2.35,1,0.596079808,0.552807344,1,0.009837474,0.983747407,0,0.022567583,0,8.37E-04
2.4,1,0.623159296,0.56529771,1,0.011853142,1.185314239,0,0.022567583,0,0.00122439
